ORF	Start BP	End BP	Length
YLR020C	183404	181788	1616
YLR021W	183622	184161	539
YLR022C	184925	184173	752
YLR023C	187128	185497	1631
YLR024C	193282	187664	5618
YLR025W	194453	195175	722
YLR026C	196473	195451	1022
YLR027C	198086	196830	1256
YLR028C	201316	199541	1775
YLR029C	202591	201977	614
YLR030W	203291	204082	791
YLR031W	204226	204786	560
YLR032W	204992	208501	3509
YLR033W	208762	210270	1508
YLR034C	211934	210513	1421
YLR035C	214457	212370	2087
YLR036C	222133	221522	611
YLR037C	223060	222686	374
YLR038C	225173	224922	251
YLR039C	228597	225427	3170
YLR041W	229378	229698	320
YLR040C	229583	228909	674
YLR042C	230452	229967	485
YLR043C	232014	231703	311
YLR044C	234082	232391	1691
YLR045C	237704	235038	2666
YLR046C	238814	238002	812
YLR047C	241408	239348	2060
YLR048W	242233	243350	1117
YLR049C	245173	243887	1286
YLR050C	246073	245588	485
YLR051C	246978	246325	653
YLR052W	247202	247954	752
YLR053C	248427	248101	326
YLR054C	250979	248718	2261
YLR055C	253081	251273	1808
YLR056W	253862	254959	1097
YLR057W	255307	257856	2549
YLR058C	259402	257993	1409
YLR059C	260548	259739	809
YLR060W	260980	262767	1787
YLR061W	263195	263949	754
YLR062C	263955	263578	377
YLR063W	264158	265255	1097
YLR064W	265457	266278	821
YLR065C	266919	266374	545
YLR066W	267170	267724	554
YLR067C	270711	267814	2897
YLR068W	271009	271464	455
YLR069C	273916	271631	2285
YLR070C	275212	274142	1070
YLR071C	278627	275379	3248
YLR072W	278863	280944	2081
YLR073C	281622	281020	602
YLR074C	282457	281957	500
YLR075W	282928	283593	665
YLR076C	283608	283186	422
YLR077W	283873	285624	1751
YLR078C	286560	285737	823
YLR079W	286821	287675	854
YLR080W	287917	289251	1334
YLR081W	290213	291937	1724
YLR082C	293573	292395	1178
YLR083C	296095	294092	2003
YLR084C	300252	296590	3662
YLR085C	301990	300674	1316
YLR086W	302244	306500	4256
YLR087C	315732	306856	8876
YLR088W	316108	317952	1844
YLR089C	320016	318238	1778
YLR090W	320702	322081	1379
YLR091W	322298	323179	881
YLR092W	323545	326226	2681
YLR093C	327416	326514	902
YLR094C	329239	327731	1508
YLR095C	332116	329678	2438
YLR096W	332591	336034	3443
YLR097C	337266	336232	1034
YLR098C	339474	337528	1946
YLR099C	340929	339745	1184
YLR099W-A	341326	341589	263
YLR100W	341811	342854	1043
YLR101C	342962	342567	395
YLR102C	343768	342971	797
YLR103C	345942	343990	1952
YLR104W	346586	346981	395
YLR105C	348181	347048	1133
YLR106C	363739	349007	14732
YLR107W	364117	365331	1214
YLR108C	368125	366668	1457
YLR109W	368782	369312	530
YLR110C	370099	369698	401
YLR111W	370392	370724	332
YLR112W	370792	371211	419
YLR113W	371621	372928	1307
YLR114C	377239	374945	2294
YLR115W	377986	380565	2579
YLR116W	380823	382253	1430
YLR117C	384535	382472	2063
YLR118C	385409	384726	683
YLR119W	385535	386176	641
YLR120C	388221	386512	1709
YLR120W-A	388673	388774	101
YLR121C	390271	388745	1526
YLR122C	391332	390955	377
YLR123C	391408	391079	329
YLR124W	391601	391945	344
YLR125W	393485	393895	410
YLR126C	395521	394766	755
YLR127C	398320	395759	2561
YLR128W	398531	399434	903
YLR129W	399658	402489	2831
YLR130C	404063	402795	1268
YLR131C	406823	404511	2312
YLR132C	408156	407284	872
YLR133W	408446	410194	1748
YLR134W	410724	412415	1691
YLR135W	413282	415528	2246
YLR136C	416659	415802	857
YLR137W	417007	418110	1103
YLR138W	418438	421395	2957
YLR139C	423474	421543	1931
YLR140W	423475	423801	326
YLR141W	423684	424775	1091
YLR142W	425187	426617	1430
YLR143W	427330	429387	2057
YLR144C	432017	429678	2339
YLR145W	432169	432774	605
YLR146C	433726	432824	902
YLR147C	434464	434159	305
YLR148W	434642	437398	2756
YLR149C	439824	437632	2192
YLR149C-A	440457	440371	86
YLR150W	440468	441289	821
YLR151C	442738	441716	1022
YLR152C	444689	442959	1730
YLR153C	447576	445525	2051
YLR154C	448315	447983	332
YLR154W-C	452439	452624	185
YLR154W-B	454393	454557	164
YLR154W-A	454697	455071	374
YLR154W-E	455434	455637	203
YLR154W-F	455884	456024	140
YLR154C-G	462672	462523	149
YLR154C-H	468959	468828	131
YLR155C	470406	469318	1088
YLR156W	472114	472458	344
YLR156C-A	472611	472480	131
YLR157C	474058	472970	1088
YLR157W-A	475765	475977	212
YLR157W-C	481874	482038	164
YLR157C-C	482191	482060	131
YLR158C	483638	482550	1088
YLR159W	485346	485690	344
YLR159C-A	485843	485712	131
YLR160C	487290	486202	1088
YLR161W	488998	489342	344
YLR162W	489574	489930	356
YLR162W-A	490407	490595	188
YLR163W-A	492814	492927	113
YLR163C	493256	491868	1388
YLR164W	493885	494391	506
YLR165C	495260	494496	764
YLR166C	498046	495431	2615
YLR167W	498949	499407	458
YLR168C	500272	499580	692
YLR169W	500337	500690	353
YLR171W	500735	501124	389
YLR170C	501051	500581	470
YLR172C	502164	501262	902
YLR173W	502423	504249	1826
YLR174W	504593	505831	1238
YLR175W	506136	507587	1451
YLR176C	510234	507799	2435
YLR177W	511056	512942	1886
YLR178C	513823	513164	659
YLR179C	514715	514110	605
YLR180W	515264	516412	1148
YLR181C	517672	516680	992
YLR182W	517942	520353	2411
YLR183C	522014	520545	1469
YLR184W	522108	522455	347
YLR185W	522665	523290	625
YLR186W	523634	524392	758
YLR187W	524867	527947	3080
YLR188W	528302	530389	2087
YLR189C	534395	530799	3596
YLR190W	535216	536691	1475
YLR191W	537274	538434	1160
YLR192C	539591	538794	797
YLR193C	540538	540011	527
YLR194C	541575	540811	764
YLR195C	543306	541939	1367
YLR196W	543970	545700	1730
YLR197W	546099	547613	1514
YLR198C	547647	547288	359
YLR199C	548771	547855	916
YLR200W	549014	549358	344
YLR201C	550295	549513	782
YLR202C	550638	550196	442
YLR203C	551962	550652	1310
YLR204W	552272	552607	335
YLR205C	553679	552726	953
YLR206W	554580	556421	1841
YLR207W	556790	559291	2501
YLR208W	559553	560446	893
YLR209C	561734	560799	935
YLR210W	562010	563392	1382
YLR211C	564533	563794	739
YLR212C	566283	564862	1421
YLR213C	567924	566656	1268
YLR214W	568569	570629	2060
YLR215C	571860	570778	1082
YLR217W	572911	573234	323
YLR216C	573213	572098	1115
YLR218C	573920	573468	452
YLR219W	574153	576339	2186
YLR220W	576827	577795	968
YLR221C	579026	578364	662
YLR222C	581773	579320	2453
YLR222C-A	582238	582008	230
YLR223C	585492	582235	3257
YLR224W	586466	587575	1109
YLR225C	588920	587697	1223
YLR226W	589356	590543	1187
YLR227C	592045	590564	1481
YLR228C	602465	600021	2444
YLR230W	604576	604881	305
YLR229C	604789	604214	575
YLR232W	606832	607179	347
YLR231C	607121	605760	1361
YLR233C	609526	607427	2099
YLR234W	609785	611755	1970
YLR235C	611932	611534	398
YLR236C	612119	611796	323
YLR237W	612369	614165	1796
YLR238W	614757	616193	1436
YLR239C	617320	616334	986
YLR240W	617535	620162	2627
YLR241W	620475	622823	2348
YLR242C	623885	622920	965
YLR243W	624205	625023	818
YLR244C	626333	625170	1163
YLR245C	626932	626504	428
YLR246W	627120	628199	1079
YLR247C	633356	628686	4670
YLR248W	634254	636086	1832
YLR249W	636782	639916	3134
YLR250W	640319	641023	704
YLR251W	641466	642059	593
YLR252W	641959	642264	305
YLR253W	642629	644338	1709
YLR254C	644975	644406	569
YLR255C	645955	645602	353
YLR256W	646417	650925	4508
YLR257W	658828	659793	965
YLR258W	660718	662835	2117
YLR259C	665004	663286	1718
YLR260W	665846	667909	2063
YLR261C	668565	668239	326
YLR262C	668893	668246	647
YLR262C-A	669664	669470	194
YLR263W	670342	672825	2483
YLR264W	673133	673336	203
YLR264C-A	673946	673830	116
YLR265C	675457	674429	1028
YLR266C	677726	675621	2105
YLR267W	678214	679926	1712
YLR268W	680202	680846	644
YLR270W	681188	682240	1052
YLR269C	681218	680868	350
YLR271W	682739	683563	824
YLR272C	687204	683674	3530
YLR273C	691031	689085	1946
YLR274W	691557	693884	2327
YLR275W	694380	694802	422
YLR276C	696832	695048	1784
YLR277C	699497	697158	2339
YLR278C	704026	700001	4025
YLR279W	704311	704700	389
YLR280C	704835	704485	350
YLR281C	704962	704495	467
YLR283W	705188	706132	944
YLR282C	705414	705073	341
YLR284C	707042	706200	842
YLR285W	707362	708147	785
YLR285C-A	708340	708170	170
YLR286W-A	708564	708698	134
YLR286C	710138	708450	1688
YLR287C	712060	710993	1067
YLR287C-A	713160	712539	621
YLR288C	714906	713482	1424
YLR289W	715091	717028	1937
YLR290C	717980	717147	833
YLR291C	719464	718319	1145
YLR292C	720372	719791	581
YLR293C	721432	720773	659
YLR294C	722032	721703	329
YLR295C	722375	722001	374
YLR296W	722980	723306	326
YLR297W	724046	724435	389
YLR298C	725418	724723	695
YLR299W	726071	728053	1982
YLR299C-A	728005	727913	92
YLR300W	728957	730303	1346
YLR301W	730827	731561	734
YLR303W	732544	733878	1334
YLR302C	732555	732193	362
YLR304C	737550	735214	2336
YLR305C	743865	738163	5702
YLR306W	744153	744853	700
YLR307W	745622	746527	905
YLR307C-A	747113	746850	263
YLR308W	747939	748877	938
YLR309C	751771	749036	2735
YLR310C	756995	752226	4769
YLR311C	757614	757267	347
YLR312C	758835	757639	1196
YLR312W-A	759385	760243	858
YLR312C-B	760644	760357	287
YLR313C	762342	760357	1985
YLR314C	764137	762575	1562
YLR315W	764808	765269	461
YLR317W	765655	766089	434
YLR316C	766358	765266	1092
YLR318W	766542	769196	2654
YLR319C	771684	769318	2366
YLR320W	771940	776304	4364
YLR322W	777628	777942	314
YLR321C	777864	776584	1280
YLR323C	778952	778173	779
YLR324W	779215	780786	1571
YLR325C	781379	781143	236
YLR326W	782174	782896	722
YLR327C	783387	783127	260
YLR328W	784913	786118	1205
YLR329W	786731	787333	602
YLR330W	787664	789679	2015
YLR332W	790676	791806	1130
YLR331C	791046	790669	377
YLR333C	795899	795573	326
YLR334C	797078	796698	380
YLR335W	797430	799592	2162
YLR336C	802396	799697	2699
YLR338W	804346	805203	857
YLR337C	805106	802653	2453
YLR340W	805887	806825	938
YLR339C	806335	805784	551
YLR341W	807385	808818	1433
YLR342W	809997	815627	5630
YLR342W-A	815810	815983	173
YLR343W	816094	817761	1667
YLR344W	819312	820142	830
YLR345W	820511	822040	1529
YLR346C	822592	822287	305
YLR347W-A	824788	824928	140
YLR347C	826412	823827	2585
YLR349W	827520	828026	506
YLR348C	827872	826976	896
YLR350W	828729	829379	650
YLR351C	830363	829488	875
YLR352W	831115	833538	2423
YLR353W	834351	836162	1811
YLR354C	837356	836349	1007
YLR355C	839252	838065	1187
YLR356W	840320	840913	593
YLR357W	841330	843999	2669
YLR358C	844049	843486	563
YLR359W	844281	845729	1448
YLR360W	846102	847421	1319
YLR361C	849123	847387	1736
YLR361C-A	849678	849382	296
YLR362W	849865	852018	2153
YLR363C	853150	852494	656
YLR363W-A	853460	853717	257
YLR364W	854061	854390	329
YLR365W	855198	855530	332
YLR366W	855537	855842	305
YLR364C-A	855644	855522	122
YLR367W	856441	857316	875
YLR368W	857539	859335	1796
YLR369W	859551	861524	1973
YLR370C	862253	861717	536
YLR371W	862713	866783	4070
YLR372W	867353	868390	1037
YLR373C	871366	868661	2705
YLR375W	871696	872727	1031
YLR374C	871841	871452	389
YLR376C	873553	872825	728
YLR377C	874791	873745	1046
YLR379W	876921	877295	374
YLR378C	877177	875735	1442
YLR380W	878282	879508	1226
YLR381W	879723	881924	2201
YLR382C	884751	882067	2684
YLR383W	885288	888632	3344
YLR384C	892900	888851	4049
YLR385C	893390	892992	398
YLR386W	893628	896270	2642
YLR387C	897672	896374	1298
YLR388W	898651	898821	170
YLR389C	902660	899577	3083
YLR390W	903066	903404	338
YLR390W-A	903724	904440	716
YLR392C	906305	904749	1556
YLR393W	907079	907918	839
YLR394W	907950	909398	1448
YLR395C	909965	909729	236
YLR396C	912310	910235	2075
YLR397C	914892	912550	2342
YLR398C	919019	915156	3863
YLR399W-A	920869	920973	104
YLR399C	921596	919536	2060
YLR400W	922063	922536	473
YLR401C	924447	922618	1829
YLR402W	924563	925078	515
YLR403W	925566	927617	2051
YLR404W	928741	929598	857
YLR405W	929787	930890	1103
YLR406C	931753	931063	690
YLR406C-A	932353	932204	149
YLR407W	932965	933654	689
YLR408C	934250	933882	368
YLR409C	937230	934411	2819
YLR410W	937538	940978	3440
YLR411W	947250	947975	725
YLR412W	948365	949189	824
YLR412C-A	950469	950263	206
YLR413W	951152	953179	2027
YLR414C	954140	953349	791
YLR415C	954593	954255	338
YLR416C	954885	954487	398
YLR417W	955006	956706	1700
YLR418C	958091	956910	1181
YLR419W	958424	962731	4307
YLR420W	963781	964875	1094
YLR421C	965556	965086	470
YLR422W	965893	971691	5798
YLR423C	973166	971913	1253
YLR424W	973391	975517	2126
YLR425W	982890	986813	3923
YLR426W	987058	988109	1051
YLR427W	988424	990436	2012
YLR429W	990773	992728	1955
YLR428C	990957	990613	344
YLR430W	993430	1000125	6695
YLR431C	1001699	1000338	1361
YLR432W	1002553	1004124	1571
YLR433C	1006004	1004343	1661
YLR435W	1006374	1006991	617
YLR434C	1006404	1006021	383
YLR436C	1011241	1007417	3824
YLR437C	1012019	1011618	401
YLR438W	1012497	1013771	1274
YLR437C-A	1012682	1012455	227
YLR438C-A	1014174	1013905	269
YLR439W	1014487	1015446	959
YLR440C	1017693	1015564	2129
YLR441C	1018904	1018137	767
YLR442C	1022247	1019311	2936
YLR443W	1022621	1023967	1346
YLR444C	1023984	1023682	302
YLR445W	1024185	1024833	648
YLR446W	1025210	1026511	1301
YLR447C	1027889	1026852	1037
YLR448W	1028849	1029763	914
YLR449W	1030829	1032007	1178
YLR450W	1032623	1035760	3137
YLR451W	1036089	1038749	2660
YLR452C	1041363	1039267	2096
YLR453C	1042983	1041796	1187
YLR454W	1043995	1051881	7886
YLR455W	1053626	1054540	914
YLR456W	1055067	1055681	614
YLR458W	1056452	1056832	380
YLR457C	1056768	1055809	959
YLR459W	1057331	1058515	1184
YLR460C	1060884	1059754	1130
YLR461W	1062916	1063278	362
YLR462W	1065953	1066561	608
YLR464W	1066569	1067498	929
YLR463C	1066813	1066262	551
YLR466W	1067084	1071232	4148
YLR465C	1067350	1067042	308
YLR466C-A	1070866	1070384	482
YLR466C-B	1071707	1071591	116
YLR467W	1072505	1077895	5390
YLR467C-A	1077529	1077047	482
YML133W-B	827	1309	482
YML133W-A	1610	2185	575
YML133C	4684	461	4223
YML132W	7244	8383	1139
YML131W	10199	11296	1097
YML130C	13175	11484	1691
YML129C	14754	14542	212
YML128C	16677	15136	1541
YML127W	17065	18810	1745
YML126C	20536	19061	1475
YML125C	21700	20762	938
YML124C	23684	22049	1635
YML123C	25801	24038	1763
YML122C	26419	26039	380
YML121W	26930	27862	932
YML120C	29807	28266	1541
YML119W	30611	31684	1073
YML118W	32334	33851	1517
YML117W	34243	37647	3404
YML116W-A	37472	37774	302
YML116W	38196	39824	1628
YML115C	41794	40187	1607
YML114C	43575	42043	1532
YML113W	44045	44791	746
YML112W	45063	45953	890
YML111W	46942	49704	2762
YML110C	50954	50031	923
YML109W	51640	54468	2828
YML108W	54793	55110	317
YML107C	56269	55265	1004
YML106W	56773	57453	680
YML105C	58687	57866	821
YML104C	62322	58939	3383
YML103C	67549	62582	4967
YML102W	68294	69700	1406
YML101C-A	69726	69409	317
YML101C	70088	69735	353
YML100W-A	70138	70311	173
YML100W	70624	73920	3296
YML099W-A	74229	74558	329
YML099C	77040	74398	2642
YML098W	77267	77770	503
YML097C	79690	78335	1355
YML096W	79909	81486	1577
YML095C	82113	81481	632
YML094W	82275	82849	574
YML094C-A	82620	82219	401
YML093W	83090	85789	2699
YML092C	86739	85987	752
YML091C	90731	87123	3608
YML090W	90744	91130	386
YML089C	91409	91041	368
YML088W	92235	94241	2006
YML087C	95369	94431	938
YML086C	97371	95791	1580
YML085C	99400	97941	1459
YML084W	99489	99797	308
YML083C	101050	99794	1256
YML082W	101862	103811	1949
YML081C-A	104162	103983	179
YML081W	104777	108532	3755
YML080W	108806	110077	1271
YML079W	110247	110852	605
YML078W	111002	111550	548
YML077W	111865	112344	479
YML076C	115347	112513	2834
YML075C	118898	115734	3164
YML074C	121324	120089	1235
YML073C	124172	123227	945
YML072C	129367	124730	4637
YML071C	131572	129749	1823
YML070W	133475	135229	1754
YML069W	135500	137158	1658
YML068W	137550	138944	1394
YML067C	140214	139063	1151
YML066C	141533	140424	1109
YML065W	142210	144954	2744
YML064C	145876	145139	737
YML063W	146482	147249	767
YML062C	148683	147505	1178
YML061C	151532	148953	2579
YML060W	151871	153001	1130
YML059C	158258	153219	5039
YML058W-A	158760	158966	206
YML058W	159383	159697	314
YML057W	160180	161994	1814
YML057C-A	160412	160023	389
YML056C	164176	162194	1982
YML055W	164790	165326	536
YML054C	167308	165533	1775
YML054C-A	167781	167623	158
YML053C	169754	169116	638
YML052W	170402	171310	908
YML051W	171594	172901	1307
YML050W	173139	174074	935
YML049C	178305	174220	4085
YML048W	178426	179637	1211
YML047W-A	179893	180258	365
YML047C	181075	180017	1058
YML046W	181474	183363	1889
YML043C	191767	190244	1523
YML042W	192788	194800	2012
YML041C	195755	194913	842
YML038C	204103	202775	1328
YML037C	205408	204386	1022
YML036W	205642	206211	569
YML035C	208860	206428	2432
YML034W	209525	212155	2630
YML034C-A	209826	209428	398
YML032C	213930	212515	1415
YML031W	214189	216156	1967
YML031C-A	214421	214086	335
YML030W	216435	216914	479
YML029W	217362	219878	2516
YML028W	220138	220728	590
YML027W	221406	222563	1157
YML026C	223828	222987	841
YML025C	225365	224406	959
YML024W	225889	226697	808
YML023C	228664	226994	1670
YML022W	228937	229500	563
YML021C	230813	229734	1079
YML020W	231149	233143	1994
YML019W	233457	234455	998
YML018C	235952	234771	1181
YML017W	236588	238731	2143
YML016C	241536	239458	2078
YML015C	243029	241989	1040
YML014W	243225	244064	839
YML013W	244149	245903	1754
YML012C-A	245914	245537	377
YML012W	246116	246751	635
YML011C	247428	246895	533
YML010W	247677	250868	3191
YML009W-B	250435	250911	476
YML009C-A	251001	250675	326
YML009C	251516	251304	212
YML008C	252990	251839	1151
YML007C-A	253272	253162	110
YML007W	253848	255800	1952
YML006C	258416	256092	2324
YML005W	260221	261609	1388
YML004C	262685	261705	980
YML003W	263483	264355	872
YML002W	264541	266754	2213
YML001W	267174	267800	626
YMR001C	271136	269019	2117
YMR001C-A	271577	271347	230
YMR002W	272193	272663	470
YMR003W	273118	273714	596
YMR004W	274017	275552	1535
YMR005W	276045	277211	1166
YMR006C	279681	277561	2120
YMR007W	279960	280340	380
YMR008C	282584	280590	1994
YMR009W	284101	284640	539
YMR010W	285099	286316	1217
YMR011W	288078	289703	1625
YMR012W	291133	294966	3833
YMR013C-A	296619	296470	149
YMR013C	296737	295178	1559
YMR013W-A	298310	298390	80
YMR014W	298867	300426	1559
YMR015C	302484	300868	1616
YMR016C	305592	303235	2357
YMR017W	307488	308681	1193
YMR018W	310207	311751	1544
YMR019W	312155	315004	2849
YMR020W	315376	316902	1526
YMR021C	318417	317164	1253
YMR022W	318679	319176	497
YMR023C	321016	319436	1580
YMR024W	321874	323046	1172
YMR025W	323299	324186	887
YMR026C	325434	324235	1199
YMR027W	325876	327288	1412
YMR028W	327481	328581	1100
YMR029C	330230	328659	1571
YMR030W	330792	331922	1130
YMR031W-A	334708	335034	326
YMR031C	334742	332211	2531
YMR032W	335297	337306	2009
YMR030W-A	337312	337602	290
YMR033W	337787	339276	1489
YMR034C	340721	339417	1304
YMR035W	341141	341674	533
YMR036C	343519	341855	1664
YMR037C	346516	344402	2114
YMR038C	348259	347510	749
YMR039C	349521	348643	878
YMR040W	350380	350862	482
YMR041C	351972	350965	1007
YMR042W	352602	353135	533
YMR043W	353870	354730	860
YMR044W	355383	356810	1427
YMR046W-A	362701	362829	128
YMR047C	366704	363363	3341
YMR048W	366980	367933	953
YMR049C	370516	368093	2423
YMR052W	379585	380199	614
YMR052C-A	380433	380068	365
YMR053C	382897	380345	2552
YMR054W	383302	385974	2672
YMR055C	387020	386100	920
YMR056C	388243	387314	929
YMR057C	388729	388358	371
YMR058W	388821	390731	1910
YMR059W	391038	391484	446
YMR060C	392514	391531	983
YMR061W	392754	394787	2033
YMR062C	396378	395053	1325
YMR063W	397076	397795	719
YMR064W	397902	399458	1556
YMR065W	399701	401215	1514
YMR066W	401540	404236	2696
YMR067C	405572	404322	1250
YMR068W	406303	407583	1280
YMR069W	407708	408565	857
YMR070W	409153	410625	1472
YMR071C	411264	410761	503
YMR072W	411568	412119	551
YMR073C	412872	412267	605
YMR074C	413472	413035	437
YMR075W	413981	416035	2054
YMR075C-A	416052	415687	365
YMR076C	420028	416195	3833
YMR077C	422148	421483	665
YMR078C	424727	422502	2225
YMR079W	424988	426058	1070
YMR080C	429626	426711	2915
YMR081C	431094	430078	1016
YMR082C	432124	431768	356
YMR083W	434787	435914	1127
YMR084W	436627	437415	788
YMR085W	437490	438788	1298
YMR086W	439207	442089	2882
YMR086C-A	442363	442025	338
YMR087W	442526	443380	854
YMR088C	445101	443413	1688
YMR089C	448085	445608	2477
YMR090W	449244	449927	683
YMR091C	451364	450057	1307
YMR092C	453478	451631	1847
YMR093W	454014	455555	1541
YMR094W	455824	457260	1436
YMR095C	457958	457284	674
YMR096W	458407	459300	893
YMR097C	460526	459423	1103
YMR098C	462608	460770	1838
YMR099C	464826	463933	893
YMR100W	466299	468161	1862
YMR101C	469475	468444	1031
YMR102C	472351	469847	2504
YMR103C	473263	472901	362
YMR104C	475452	473419	2033
YMR105C	477605	475896	1709
YMR105W-A	478063	478257	194
YMR106C	480189	478300	1889
YMR107W	483013	483360	347
YMR108W	484083	486146	2063
YMR109W	486586	490245	3659
YMR110C	491991	490393	1598
YMR111C	493791	492403	1388
YMR112C	494494	494099	395
YMR113W	494998	496281	1283
YMR114C	497448	496342	1106
YMR115W	497703	499208	1505
YMR116C	500687	499455	1232
YMR117C	501890	501249	641
YMR118C	502733	502143	590
YMR119W	505332	507206	1874
YMR119W-A	506995	507369	374
YMR120C	509279	507501	1778
YMR121C	510347	509733	614
YMR122C	511074	510700	374
YMR122W-A	511314	511568	254
YMR123W	513592	513960	368
YMR124W	514455	517286	2831
YMR125W	517538	520445	2907
YMR126C	521788	520760	1028
YMR127C	523344	522328	1016
YMR128W	523695	527498	3803
YMR129W	527803	531816	4013
YMR130W	532118	533026	908
YMR131C	534697	533162	1535
YMR132C	535569	534943	626
YMR133W	536206	537608	1402
YMR134W	537837	538550	713
YMR135W-A	539910	540443	533
YMR135C	540055	538688	1367
YMR136W	541198	542880	1682
YMR137C	544962	542977	1985
YMR138W	545154	545729	575
YMR139W	546124	547236	1112
YMR140W	547713	549182	1469
YMR141C	550043	549735	308
YMR141W-A	550910	551134	224
YMR142C	551206	550205	1001
YMR143W	551927	552902	975
YMR144W	553361	554389	1028
YMR145C	556474	554792	1682
YMR146C	558523	557480	1043
YMR147W	559198	559869	671
YMR148W	560365	560811	446
YMR149W	560995	561855	860
YMR151W	562505	562942	437
YMR150C	562527	561955	572
YMR152W	563095	564192	1097
YMR153W	564434	565861	1427
YMR153C-A	565908	565573	335
YMR154C	568181	565998	2183
YMR155W	568550	570193	1643
YMR156C	571015	570299	716
YMR157C	572043	571276	767
YMR158W	572247	572714	467
YMR158C-A	573330	573193	137
YMR158W-B	574470	574790	320
YMR159C	574927	574475	452
YMR160W	575065	577515	2450
YMR161W	577717	578391	674
YMR162C	583920	578950	4970
YMR163C	586387	584270	2117
YMR164C	589549	587273	2276
YMR165C	592627	590039	2588
YMR166C	594472	593366	1106
YMR167W	594885	597194	2309
YMR168C	599157	597331	1826
YMR169C	600871	599351	1520
YMR170C	603081	601561	1520
YMR171C	605519	603867	1652
YMR172W	605980	608139	2159
YMR172C-A	608210	607827	383
YMR173W	608688	609980	1292
YMR173W-A	608896	610080	1184
YMR174C	610364	610158	206
YMR175W	611015	611254	239
YMR175W-A	611313	611507	194
YMR176W	611739	615974	4235
YMR177W	616565	618097	1532
YMR178W	618478	619302	824
YMR179W	619857	622133	2276
YMR180C	623212	622250	962
YMR181C	624079	623615	464
YMR182C	625166	624531	635
YMR182W-A	625810	625896	86
YMR183C	627807	626920	887
YMR184W	628188	628784	596
YMR185W	629024	631969	2945
YMR186W	632354	634471	2117
YMR187C	635983	634688	1295
YMR188C	637003	636290	713
YMR189W	637499	640603	3104
YMR190C	645257	640914	4343
YMR191W	645655	646776	1121
YMR192W	647117	649279	2162
YMR193W	650035	650811	776
YMR194W	651144	651909	765
YMR193C-A	651457	651071	386
YMR194C-B	652886	652593	293
YMR194C-A	653135	652911	224
YMR195W	654033	654416	383
YMR196W	655075	658341	3266
YMR197C	659197	658544	653
YMR198W	659744	661528	1784
YMR199W	662643	664283	1640
YMR200W	664751	665521	770
YMR201C	667043	665844	1199
YMR202W	667536	668204	668
YMR203W	668491	669654	1163
YMR204C	671324	670062	1262
YMR205C	674765	671886	2879
YMR206W	675895	676836	941
YMR207C	683563	677192	6371
YMR208W	684466	685797	1331
YMR209C	687283	685910	1373
YMR210W	687515	688864	1349
YMR211W	689082	690509	1427
YMR212C	693042	690694	2348
YMR213W	693380	695152	1772
YMR214W	695349	696482	1133
YMR215W	696795	698369	1574
YMR216C	701038	698810	2228
YMR217W	701789	703366	1577
YMR218C	706886	703578	3308
YMR219W	707132	712108	4976
YMR220W	712315	713670	1355
YMR221C	715444	713930	1514
YMR222C	716308	715637	671
YMR223W	716714	718129	1415
YMR224C	720652	718574	2078
YMR225C	721402	720959	443
YMR226C	722395	721592	803
YMR227C	724384	722612	1772
YMR228W	724625	725650	1025
YMR229C	731122	725933	5189
YMR230W	732413	733140	727
YMR230W-A	733267	733455	188
YMR231W	733544	736633	3089
YMR232W	736925	738958	2033
YMR233W	739184	739864	680
YMR234W	740265	741311	1046
YMR235C	742734	741511	1223
YMR236W	742970	743443	473
YMR237W	743748	745922	2174
YMR238W	746352	747728	1376
YMR239C	749676	748261	1415
YMR240C	751239	749929	1310
YMR241W	751960	752904	944
YMR242C	754196	753224	972
YMR242W-A	754296	754385	89
YMR243C	756165	754837	1328
YMR244W	757249	758316	1067
YMR245W	758562	759182	620
YMR244C-A	758830	758516	314
YMR246W	759806	761890	2084
YMR247C	768038	763350	4688
YMR247W-A	769282	769425	143
YMR250W	770800	772557	1757
YMR251W	772914	774014	1100
YMR251W-A	774751	774930	179
YMR252C	775718	775314	404
YMR253C	777189	775945	1244
YMR254C	777922	777614	308
YMR255W	778000	778566	566
YMR256C	779126	778944	182
YMR257C	782030	779628	2402
YMR258C	784280	782619	1661
YMR259C	788882	784620	4262
YMR260C	789838	789377	461
YMR261C	793368	790204	3164
YMR262W	793725	794666	941
YMR263W	794918	795523	605
YMR264W	795804	796415	611
YMR265C	797924	796539	1385
YMR266W	798517	801378	2861
YMR267W	801771	802703	932
YMR268C	804221	802887	1334
YMR269W	804455	805090	635
YMR270C	806422	805325	1097
YMR271C	807547	806864	683
YMR272W-A	810465	810578	113
YMR272C	810776	809622	1154
YMR272W-B	811088	811195	107
YMR273C	813979	811232	2747
YMR274C	815310	814363	947
YMR275C	818580	815650	2930
YMR276W	818826	819947	1121
YMR277W	820255	822453	2198
YMR278W	822762	824630	1868
YMR279C	826350	824728	1622
YMR280C	831328	827027	4301
YMR281W	832338	833252	914
YMR282C	835097	833355	1742
YMR283C	836866	835325	1541
YMR284W	838186	839994	1808
YMR285C	841690	840143	1547
YMR286W	841941	842201	260
YMR287C	845344	842435	2909
YMR288W	845570	848485	2915
YMR289W	848684	849808	1124
YMR290W-A	851421	851768	347
YMR290C	851590	850073	1517
YMR291W	852629	854389	1760
YMR292W	854794	855292	498
YMR293C	856792	855398	1394
